Using: ,adj_open_tomorrow,sentiment_n,adj_close_tomorrow,sentiment_p,adj_low
Predict: ,adj_close_tomorrow
Train RMSE 2: ,0.006382588622746857
Test RMSE 2: ,0.004705786688911442
PredictedRelative Unsigned,TrueRelative Unsigned,Relative Error onRelative Unsigned
[ 0.00482384],0.00870947889414,[ 0.44613874]
[ 0.00892223],0.00260739057467,[ 2.42190075]
[ 0.0047601],0.000591929963371,[ 7.04166365]
[ 0.00478658],0.00426585522636,[ 0.12206776]
[ 0.00475989],0.00245158193102,[ 0.94155979]
[ 0.00460176],0.0157379679882,[ 0.70760167]
[ 0.00898634],0.00784221139501,[ 0.14589342]
[ 0.0046742],0.000745697766649,[ 5.26822662]
[ 0.00468895],0.00152070124742,[ 2.08341074]
[ 0.00468052],0.000305856088595,[ 14.30300903]
[ 0.00462604],0.00553985418006,[ 0.16495241]
[ 0.00466969],0.000363321116408,[ 11.85278606]
[ 0.00469608],0.00349186627296,[ 0.34486347]
[ 0.00470404],0.00291171928221,[ 0.61555409]
[ 0.00470932],0.00301842123767,[ 0.56019139]
[ 0.00477637],0.00785546358689,[ 0.3919687]
[ 0.00472293],0.0020517135264,[ 1.30194497]
[ 0.0047741],0.00416390216768,[ 0.14654349]
[ 0.00473411],0.000407204584811,[ 10.62587643]
[ 0.00476218],0.00197608532639,[ 1.40990567]
[ 0.00479338],0.00604046825422,[ 0.20645489]
[ 0.00469478],0.00507978650452,[ 0.07579121]
[ 0.00471923],6.2977997022e-05,[ 73.93452454]
[ 0.00466703],0.00229954321375,[ 1.02954435]
[ 0.00464263],0.00270260441291,[ 0.71783584]
[ 0.00469829],0.00407862052682,[ 0.15193148]
[ 0.00468205],0.00114405780231,[ 3.09249783]
[ 0.00468896],0.00204116016825,[ 1.29720461]
[ 0.0045492],0.00899517968217,[ 0.49426281]
[ 0.00453966],0.00406777671325,[ 0.1160041]
[ 0.00568894],0.00547695099433,[ 0.03870567]
[ 0.00657574],0.00396007279224,[ 0.6605106]
[ 0.00447497],0.0105064808895,[ 0.5740757]
[ 0.00430058],0.0208217604678,[ 0.79345727]
[ 0.00430803],0.00997010719628,[ 0.56790531]
[ 0.00439426],0.00093316670045,[ 3.70898175]
[ 0.00431022],0.00844931893192,[ 0.48987323]
[ 0.00422588],0.0110844880843,[ 0.61875689]
[ 0.00428052],0.00218332157268,[ 0.96055299]
[ 0.00429591],0.000644295116417,[ 5.66761351]
[ 0.00453795],0.016442182814,[ 0.72400588]
[ 0.0043521],0.00843407929401,[ 0.4839862]
[ 0.00436012],0.00289691986907,[ 0.50508815]
[ 0.00433036],0.00309535997444,[ 0.39898559]
[ 0.00434806],0.00019820561973,[ 20.93711281]
[ 0.00436969],0.000640790158245,[ 5.8192215]
[ 0.00433529],0.0030913478024,[ 0.40239379]
[ 0.00435391],0.000707514045941,[ 5.15381241]
[ 0.00435099],0.00168849941822,[ 1.57683933]
[ 0.00439939],0.00347090096189,[ 0.26750758]
[ 0.00436295],0.00190525081886,[ 1.28996146]
[ 0.0042508],0.0109382308984,[ 0.61138117]
[ 0.00433828],0.00160876054775,[ 1.69666207]
[ 0.00431674],0.00369408233018,[ 0.1685546]
[ 0.00428108],0.00457974295222,[ 0.06521464]
[ 0.00430932],0.00115693179257,[ 2.72478366]
[ 0.00653213],0.0341767161751,[ 0.80887198]
[ 0.00463259],0.00366615264096,[ 0.26361099]
