dates,adj_open,adj_close,volume,price_m_ave_50,price_m_ave_100,volume_m_ave_50,relative_change,positive_sentiment,negative_sentiment,uncertainty_sentiment,news_volume
2007-01-03,11.0894676799,10.7694679751,309579900.0,nan,nan,nan,0.0,0,0,0,0
2007-01-04,10.8015964595,11.0085038991,211815100.0,nan,nan,nan,0.0221957040573,0,0,0,0
2007-01-05,11.0226404323,10.9301103972,208685400.0,nan,nan,nan,-0.00712117674529,0,0,0,0
2007-01-08,11.0470580804,10.984086251,199276700.0,nan,nan,nan,0.00493827160492,0,0,0,0
2007-01-09,11.1100299099,11.8965352083,837324600.0,nan,nan,nan,0.0830700830701,0,0,0,0
2007-01-10,12.1766955924,12.4658519521,738220000.0,nan,nan,nan,0.0478556767851,0,0,0,0
2007-01-11,12.3296271782,12.3116352269,360063200.0,nan,nan,nan,-0.0123711340206,0,0,0,0
2007-01-12,12.1561333624,12.1599887805,328172600.0,nan,nan,nan,-0.0123173277661,0,0,0,0
2007-01-16,12.2962135544,12.4787033459,311019100.0,nan,nan,nan,0.0262101035722,0,0,0,0
2007-01-17,12.5378197572,12.2023983799,411565000.0,nan,nan,nan,-0.0221421215242,0,0,0,0
2007-01-18,11.8361336576,11.4467364265,591151400.0,nan,nan,nan,-0.0619273301738,0,0,0,0
2007-01-19,11.390190294,11.3734834821,341118400.0,nan,nan,nan,-0.00639946109803,0,0,0,0
2007-01-22,11.4557324022,11.1537246487,363506500.0,nan,nan,nan,-0.0193220338983,0,0,0,0
2007-01-23,11.0174998748,11.0136444567,301856100.0,nan,nan,nan,-0.0125590505819,0,0,0,0
2007-01-24,11.1395881155,11.1421583943,231953400.0,nan,nan,nan,0.0116686114352,0,0,0,0
2007-01-25,11.1949776227,11.0843271224,226493400.0,nan,nan,nan,-0.00519031141871,0,0,0,0
2007-01-26,11.1954916784,10.9725199966,246718500.0,nan,nan,nan,-0.0100869565217,0,0,0,0
2007-01-29,11.0907528192,11.0444878017,225416100.0,nan,nan,nan,0.00655891309446,0,0,0,0
2007-01-30,11.1074596311,10.994367366,144492600.0,nan,nan,nan,-0.00453804980221,0,0,0,0
2007-01-31,10.905692749,11.0174998748,214017300.0,nan,nan,nan,0.00210403272939,0,0,0,0
2007-02-01,11.0817568436,10.8902710765,166085500.0,nan,nan,nan,-0.0115478828881,0,0,0,0
2007-02-02,10.8105924352,10.8915562159,155382500.0,nan,nan,nan,0.000118008024591,0,0,0,0
2007-02-05,10.8337249439,10.7874599264,144713100.0,nan,nan,nan,-0.0095575221239,0,0,0,0
2007-02-06,10.8530020346,10.8144478533,216098400.0,nan,nan,nan,0.00250178699065,0,0,0,0
2007-02-07,10.8568574527,11.0714757286,266706300.0,nan,nan,nan,0.0237670825906,0,0,0,0
2007-02-08,10.9789456935,11.0753311467,169757700.0,nan,nan,nan,0.000348229831733,0,0,0,0
2007-02-09,11.0367769654,10.7013555882,215135200.0,nan,nan,nan,-0.033766535159,0,0,0,0
2007-02-12,10.8504317558,10.9082630278,181017900.0,nan,nan,nan,0.0193346943677,0,0,0,0
2007-02-13,10.9442469303,10.885130519,145246500.0,nan,nan,nan,-0.0021206409048,0,0,0,0
2007-02-14,10.8761345434,10.9622388816,126995400.0,nan,nan,nan,0.00708382526561,0,0,0,0
2007-02-15,10.9802308329,10.9506726272,90915300.0,nan,nan,nan,-0.00105509964825,0,0,0,0
2007-02-16,10.9558131847,10.9018373309,99967000.0,nan,nan,nan,-0.00445957047293,0,0,0,0
2007-02-20,10.8787048221,11.0393472442,154425600.0,nan,nan,nan,0.0126134622185,0,0,0,0
2007-02-21,11.0496283592,11.4634432384,288828400.0,nan,nan,nan,0.0384167636787,0,0,0,0
2007-02-22,11.6690655387,11.5032825591,209556200.0,nan,nan,nan,0.00347533632281,0,0,0,0
2007-02-23,11.4583026809,11.4467364265,129473400.0,nan,nan,nan,-0.00491565188245,0,0,0,0
2007-02-26,11.5456921585,11.3927605727,153962200.0,nan,nan,nan,-0.00471539238799,0,0,0,0
2007-02-27,11.0907528192,10.786174787,286453300.0,nan,nan,nan,-0.0532430908066,0,0,0,0
