Using: ,adj_low,adj_close_tomorrow,sentiment_p,sentiment_n,adj_open_tomorrow
Predict: ,adj_close_tomorrow
Train RMSE 2: ,0.0046448083614119475
Test RMSE 2: ,0.0054142566335233
PredictedRelative Unsigned,TrueRelative Unsigned,Relative Error onRelative Unsigned
 0.00291792,0.00283903289089, 0.0277869
 0.00291785,0.00226777498102, 0.28665704
 0.00288191,0.00760611675208, 0.62110561
 0.00289684,0.00468402819013, 0.38154846
 0.00291357,2.63550280654e-05, 109.55099487
 0.0029289,0.000607648261808, 3.82006097
 0.00294506,3.01950434553e-05, 96.53444672
 0.00295396,0.00264856466081, 0.11530615
 0.0029577,0.000540813866267, 4.46897793
 0.00295756,0.00428787023633, 0.31024885
 0.00296001,0.0017806184854, 0.66234833
 0.00289621,0.0110403249634, 0.73766953
 0.00289927,0.00557585980588, 0.48003092
 0.00287723,0.00291581739596, 0.01323433
 0.00285968,0.00376663442191, 0.24078731
 0.00285974,0.00177025046932, 0.61544293
 0.00277583,0.011325466183, 0.75490385
 0.00272564,0.0105758535836, 0.74227738
 0.00270873,0.0045455286323, 0.40408811
 0.00269062,0.00502520960644, 0.46457604
 0.00255531,0.0112041274839, 0.77193099
 0.00246508,0.00946494954898, 0.73955727
 0.00245281,0.00953799680477, 0.7428382
 0.00238863,0.0128614836007, 0.81428045
 0.0023586,0.0110083762697, 0.78574461
 0.00235917,0.00383807776146, 0.38532576
 0.0023194,0.011328958759, 0.79526812
 0.00233276,0.00605436902575, 0.61469758
 0.00232755,0.00506846461596, 0.54077822
 0.00232951,0.00818551113851, 0.71541065
 0.00233654,0.0059846429581, 0.60957754
 0.00231249,0.00833924939502, 0.72269768
 0.00229027,0.00864640395066, 0.73511863
 0.0023726,0.00463315249388, 0.48790857
 0.00431388,0.0135263666738, 0.68107611
 0.0023496,0.00886527253116, 0.73496598
 0.00229222,0.0105389349281, 0.78249973
 0.00226009,0.00919292399445, 0.75414854
 0.00221737,0.00980786968666, 0.77391946
 0.00223053,0.00822923204258, 0.7289508
 0.00213092,0.0105722302109, 0.79844213
 0.0021009,0.0100314183793, 0.79056799
 0.00213355,0.00312540513261, 0.31735322
 0.00214492,0.00736532263509, 0.70878178
 0.00211125,0.0124117488943, 0.82989883
 0.00206988,0.0126549344987, 0.83643699
 0.00208663,0.00544827136641, 0.61701047
 0.00206538,0.00957361827897, 0.78426307
 0.00205351,0.0092297544634, 0.77751189
 0.00219911,0.0103734297609, 0.78800529
 0.00230005,0.00845034565364, 0.72781622
 0.00229425,0.0127312858224, 0.81979394
 0.00226336,0.00487472349579, 0.53569448
 0.00426767,0.00495246344191, 0.13827276
 0.00440887,0.00496026555426, 0.11116308
 0.00225346,0.0135313192752, 0.83346307
 0.00224784,0.00421185725198, 0.46630636
 0.00220531,0.0109228574004, 0.79810125
 0.00221379,0.00779092127056, 0.71585041
 0.00216518,0.0125337536936, 0.82725179
 0.00222737,0.000148527733254, 13.99630928
 0.00233019,0.00395406148398, 0.41068345
 0.00418925,0.00844047345452, 0.50367141
 0.00413812,0.00262443752532, 0.57676619
 0.00446509,0.0062631072486, 0.28708038
 0.00482165,0.00792949610879, 0.39193499
 0.00247977,0.0108927739696, 0.77234733
 0.00249442,0.00725317324652, 0.65609294
 0.00428167,0.00893499258202, 0.52079809
 0.00238116,0.0127064798157, 0.81260234
 0.00235267,0.00880328545231, 0.73275107
 0.00228953,0.0128157958455, 0.82135123
 0.00226736,0.00781336192408, 0.7098102
 0.00221948,0.00974049894086, 0.77213854
 0.0022147,0.00738315761292, 0.70003366
 0.0021654,0.0141671073129, 0.84715289
 0.002143,0.0120870647713, 0.82270265
 0.00212001,0.00659932884421, 0.67875326
 0.00211501,0.0103702503712, 0.79605025
 0.00209813,0.0113705370083, 0.81547672
 0.00220613,0.000957669271236, 1.30364323
 0.00227072,0.00385283451689, 0.41063541
 0.00359228,0.0125162189693, 0.71298975
 0.00233949,0.01334379981, 0.82467592
 0.00238392,0.000507776350145, 3.69483185
 0.00238224,0.0057402321259, 0.58499247
 0.00237237,0.00547404532988, 0.56661397
 0.00242439,0.00375650193505, 0.35461375
 0.00238833,0.00701668814067, 0.65962201
 0.00238882,0.00579070843246, 0.58747327
 0.00238857,0.00510284133258, 0.53191406
 0.00240642,0.00481135030978, 0.49984476
 0.00249025,0.00182264475021, 0.36628455
 0.00247893,0.00835421924894, 0.70327163
 0.0024457,0.00865158989987, 0.71731192
 0.00242873,0.00460344887463, 0.47241047
 0.00239874,0.00761504050417, 0.68499959
 0.0024648,0.00334708148813, 0.26359627
 0.00248726,0.00370997378007, 0.32957387
 0.00251631,0.00192285100045, 0.30863675
 0.00244049,0.0139200006937, 0.82467717
 0.00242177,0.0102996402038, 0.76486862
 0.00479566,0.00637336829247, 0.24754703
 0.00379116,0.00236990886116, 0.59970725
 0.00247617,0.00271962444815, 0.08951683
 0.0024469,0.0118457448696, 0.79343629
 0.00242773,0.0128276425504, 0.81074208
 0.00235722,0.0127963459895, 0.81578934
 0.00235391,0.0048237616483, 0.51201761
 0.00238951,0.00123676255155, 0.93206513
 0.00241075,0.00572614754232, 0.57899326
 0.00238185,0.0107290229411, 0.7779991
 0.00241168,0.00310362093578, 0.22294712
 0.00239893,0.00443293210714, 0.45883891
 0.00238282,0.00623050537174, 0.61755592
 0.00237196,0.00959612599658, 0.75282073
 0.00240436,0.00194642244872, 0.23526999
 0.00243416,0.00242703382774, 0.00293639
 0.00246815,0.00240352801912, 0.0268854
 0.0024466,0.00834080075748, 0.70667094
 0.00239992,0.0127702289448, 0.81206918
 0.00238503,0.00712925150718, 0.66545922
 0.00239898,0.0059543565376, 0.59710586
 0.00243428,0.00149233400319, 0.6311869
 0.00244637,0.00782005785599, 0.68716669
 0.00233454,0.0162652491877, 0.85647088
 0.00230581,0.0133348566322, 0.8270843
 0.00224713,0.0123690954736, 0.81832677
 0.00225836,0.00372060904909, 0.39301375
 0.00224346,0.00963125322279, 0.76706421
 0.00226606,0.00522745992981, 0.56650805
 0.0021821,0.0144662569847, 0.84915924
 0.00378577,0.00909573707137, 0.58378589
 0.00375995,0.00213974812007, 0.7571913
 0.00212997,0.00376141662659, 0.43373284
 0.00207068,0.0174099103736, 0.88106304
 0.00385245,0.0127458327248, 0.69774848
 0.00202937,0.00866175629437, 0.76570976
 0.00201152,0.00810067470711, 0.75168461
 0.00201455,0.0107416441603, 0.8124541
 0.00199933,0.00970944136544, 0.79408354
 0.0020458,0.00581952644634, 0.64845967
 0.00204812,0.00852646564341, 0.75979286
 0.00212201,0.00268522978995, 0.20974572
 0.00214013,0.00851352781452, 0.74862027
 0.00213837,0.011448517409, 0.81321877
 0.00214094,0.00765942391185, 0.72048348
 0.00194586,0.0180854170358, 0.89240742
 0.00187537,0.0111723360912, 0.83214122
 0.00188629,0.010924891204, 0.82733989
 0.00183802,0.0141890288177, 0.87046194
 0.00347718,0.00736144248816, 0.52764994
 0.00180344,0.0157379289029, 0.8854081
 0.00181831,0.00844938512565, 0.78479975
