Using: ,adj_low,adj_close_tomorrow,sentiment_p,sentiment_n,adj_open_tomorrow
Predict: ,adj_close_tomorrow
Train RMSE 2: ,0.028610800489108957
Test RMSE 2: ,0.09590347429092069
PredictedRelative Unsigned,TrueRelative Unsigned,Relative Error onRelative Unsigned
[ 0.02909858],0.142475925537,[ 0.79576492]
[ 0.02909016],0.161080648733,[ 0.81940627]
[ 0.02909186],0.152606544177,[ 0.80936688]
[ 0.02909662],0.164549209652,[ 0.82317376]
[ 0.02907362],0.124198705438,[ 0.76591045]
[ 0.02905709],0.147697720717,[ 0.80326647]
[ 0.02905495],0.154105185598,[ 0.81146026]
[ 0.02908569],0.197659092624,[ 0.85284919]
[ 0.02915055],0.186081559023,[ 0.84334534]
[ 0.02921296],0.225153471294,[ 0.87025309]
[ 0.02925509],0.1734679233,[ 0.83135158]
[ 0.02925645],0.17777067628,[ 0.83542591]
[ 0.02924008],0.157418749659,[ 0.81425291]
[ 0.02924039],0.196407597727,[ 0.85112399]
[ 0.02925134],0.18059327205,[ 0.8380264]
[ 0.02925793],0.191242133515,[ 0.84701103]
[ 0.02926663],0.184111003634,[ 0.84103817]
[ 0.02929905],0.231291041028,[ 0.87332386]
[ 0.02933538],0.189964996473,[ 0.8455748]
[ 0.02934057],0.20575277655,[ 0.85739893]
[ 0.02936711],0.237856599335,[ 0.8765344]
[ 0.02939819],0.196304920108,[ 0.8502422]
[ 0.02937716],0.154597847002,[ 0.80997688]
[ 0.02933118],0.157541141572,[ 0.81381893]
[ 0.02929816],0.172105284896,[ 0.82976609]
[ 0.02929619],0.191443881473,[ 0.84697247]
[ 0.02926997],0.157993707598,[ 0.8147397]
[ 0.0292048],0.129086750671,[ 0.77375835]
[ 0.02918727],0.206354997596,[ 0.85855794]
[ 0.02922039],0.173759572874,[ 0.83183438]
[ 0.02921848],0.146773098715,[ 0.80092758]
[ 0.02921958],0.192060386116,[ 0.84786254]
[ 0.0290396],0.0611356838116,[ 0.52499753]
[ 0.02893898],0.065386808257,[ 0.5574187]
[ 0.02879634],0.0513401722562,[ 0.43910709]
[ 0.02874761],0.0974543685857,[ 0.70501471]
[ 0.02866979],0.0901377078254,[ 0.68193346]
[ 0.02863886],0.115290346471,[ 0.75159365]
[ 0.02869555],0.156206023018,[ 0.81629676]
[ 0.02874054],0.1101882725,[ 0.73916882]
[ 0.02872147],0.117355019383,[ 0.75525993]
[ 0.02872574],0.120999134163,[ 0.76259553]
[ 0.02872727],0.132291497188,[ 0.78284878]
[ 0.02876624],0.144816169237,[ 0.80136031]
[ 0.02880647],0.134037915574,[ 0.78508717]
[ 0.02881048],0.127496735713,[ 0.77402961]
[ 0.02885149],0.160221473843,[ 0.81992739]
[ 0.02890319],0.146473706511,[ 0.80267322]
[ 0.02889308],0.100968253252,[ 0.71384001]
[ 0.02886465],0.126068215862,[ 0.77103943]
[ 0.02886788],0.139684936795,[ 0.79333574]
[ 0.02887226],0.11615422425,[ 0.7514317]
[ 0.02887635],0.151841805426,[ 0.80982608]
[ 0.02882398],0.080688559991,[ 0.64277488]
[ 0.0288216],0.152003915927,[ 0.8103891]
[ 0.02884509],0.123759379029,[ 0.76692605]
[ 0.02884271],0.143856645587,[ 0.7995038]
[ 0.02885798],0.134187490179,[ 0.78494281]
[ 0.02888779],0.149216500839,[ 0.80640352]
[ 0.02885976],0.11436030311,[ 0.7476418]
[ 0.02877697],0.0898347244319,[ 0.67966771]
[ 0.02875702],0.130169190381,[ 0.77907974]
[ 0.02872923],0.0981971757454,[ 0.70743322]
[ 0.02860469],0.0218098548151,[ 0.31154871]
[ 0.02850457],0.0517863985858,[ 0.44957417]
[ 0.02835023],0.0362281173956,[ 0.21745238]
[ 0.02828345],0.0966898371149,[ 0.70748276]
[ 0.02824171],0.0801527729535,[ 0.64765143]
[ 0.02818824],0.0945654548984,[ 0.70191818]
[ 0.02821545],0.0822370010993,[ 0.65690082]
[ 0.02822859],0.0987492540547,[ 0.71413875]
[ 0.02823282],0.0845570469682,[ 0.6661092]
[ 0.02828086],0.100436635764,[ 0.71842086]
[ 0.02830646],0.114924719359,[ 0.75369561]
[ 0.02831904],0.0783071849956,[ 0.63835961]
[ 0.02829811],0.0943515802912,[ 0.70007813]
[ 0.02826566],0.079836166768,[ 0.64595419]
[ 0.0282201],0.0808567424397,[ 0.65098643]
[ 0.0282015],0.0921356572906,[ 0.69391334]
[ 0.0281911],0.0877597174153,[ 0.67876953]
[ 0.02820998],0.0936493640179,[ 0.69877023]
[ 0.0282108],0.0874485624009,[ 0.67740119]
[ 0.02819368],0.0713110186837,[ 0.6046378]
[ 0.0281725],0.0877971104213,[ 0.67911816]
[ 0.02816908],0.0863417230691,[ 0.67374897]
[ 0.0281565],0.0809307647653,[ 0.65209156]
[ 0.0281241],0.0910052426692,[ 0.69096184]
[ 0.02815954],0.11890448789,[ 0.76317507]
[ 0.02825212],0.096155751063,[ 0.70618379]
[ 0.02828401],0.108854625234,[ 0.74016708]
[ 0.02830015],0.0810732485643,[ 0.65093106]
[ 0.02829441],0.107085085089,[ 0.73577631]
[ 0.02838574],0.134959594332,[ 0.78967226]
[ 0.02846121],0.122597834958,[ 0.76784897]
[ 0.02848425],0.0920097087992,[ 0.69042128]
[ 0.02839454],0.118972539292,[ 0.76133531]
[ 0.02854644],0.166506904868,[ 0.82855701]
[ 0.02865453],0.129150252511,[ 0.77813029]
[ 0.02867569],0.110227061657,[ 0.73984891]
[ 0.02866906],0.124899787321,[ 0.77046353]
[ 0.02867142],0.111865077945,[ 0.74369639]
